file,youtube_title,playlist,description
ch11-p1.mp4,[NGN W1.1 P1] The Joint Distribution,Week 1 — Probability & Inference,"The Joint Distribution — NextGen Empirical Finance Camp. Part 1 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p2.mp4,[NGN W1.1 P2] Marginals and Conditioning,Week 1 — Probability & Inference,"Marginals and Conditioning — NextGen Empirical Finance Camp. Part 2 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p3.mp4,"[NGN W1.1 P3] Both Directions, and Independence",Week 1 — Probability & Inference,"Both Directions, and Independence — NextGen Empirical Finance Camp. Part 3 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p4.mp4,[NGN W1.1 P4] Conditional Expectation,Week 1 — Probability & Inference,"Conditional Expectation — NextGen Empirical Finance Camp. Part 4 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p5.mp4,[NGN W1.1 P5] The Law of Iterated Expectations,Week 1 — Probability & Inference,"The Law of Iterated Expectations — NextGen Empirical Finance Camp. Part 5 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p6.mp4,[NGN W1.1 P6] The Law of Total Variance: Setup,Week 1 — Probability & Inference,"The Law of Total Variance: Setup — NextGen Empirical Finance Camp. Part 6 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p7.mp4,[NGN W1.1 P7] Total Variance: The Decomposition,Week 1 — Probability & Inference,"Total Variance: The Decomposition — NextGen Empirical Finance Camp. Part 7 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch11-p8.mp4,[NGN W1.1 P8] Why These Two Laws Run Everything,Week 1 — Probability & Inference,"Why These Two Laws Run Everything — NextGen Empirical Finance Camp. Part 8 of 8
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p1.mp4,[NGN W1.2 P1] Linearity of Expectation,Week 1 — Probability & Inference,"Linearity of Expectation — NextGen Empirical Finance Camp. Part 1 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
ch12-p2.mp4,[NGN W1.2 P2] Variance and Covariance Defined,Week 1 — Probability & Inference,"Variance and Covariance Defined — NextGen Empirical Finance Camp. Part 2 of 10
Prof. Lei Gao, George Mason University. A research-grade empirical-finance lesson for advanced high-school students."
